Frequency (Hz)	Level (dB)
349.914551	-68.892075
350.587463	-70.551971
351.260376	-70.521339
351.933289	-69.845093
352.606201	-68.032761
353.279114	-69.977829
353.952026	-71.054932
354.624939	-70.653259
355.297852	-69.630577
355.970764	-70.818413
356.643677	-69.148796
357.316589	-70.452515
357.989502	-69.799065
358.662415	-68.610435
359.335327	-69.458549
360.008240	-69.867256
360.681152	-67.772514
361.354065	-70.636719
362.026978	-69.142410
362.699890	-70.956116
363.372803	-69.580673
364.045715	-68.745842
364.718628	-69.940079
365.391541	-71.423721
366.064453	-71.727257
366.737366	-69.977684
367.410278	-69.510231
368.083191	-68.174805
368.756104	-68.245613
369.429016	-69.067207
370.101929	-69.644348
370.774841	-68.283722
371.447754	-68.312798
372.120667	-69.887352
372.793579	-67.751480
373.466492	-69.529808
374.139404	-67.513817
374.812317	-67.280075
375.485229	-69.473152
376.158142	-68.066391
376.831055	-66.155548
377.503967	-66.550179
378.176880	-67.548119
378.849792	-69.463852
379.522705	-68.162598
380.195618	-68.768791
380.868530	-65.090546
381.541443	-65.472153
382.214355	-65.508667
382.887268	-66.996727
383.560181	-66.938713
384.233093	-64.680290
384.906006	-65.541054
385.578918	-68.290131
386.251831	-68.505676
386.924744	-68.421982
387.597656	-64.683174
388.270569	-63.042030
388.943481	-63.344120
389.616394	-66.877357
390.289307	-65.667313
390.962219	-63.572853
391.635132	-65.252968
392.308044	-66.155975
392.980957	-61.504677
393.653870	-64.734451
394.326782	-63.397663
394.999695	-63.615459
395.672607	-64.707764
396.345520	-62.162281
397.018433	-62.931767
397.691345	-62.781563
398.364258	-63.024284
399.037170	-62.601475
399.710083	-62.233513
400.382996	-61.310036
401.055908	-59.719063
401.728821	-60.659321
402.401733	-59.755478
403.074646	-60.594173
403.747559	-60.295307
404.420471	-57.978073
405.093384	-57.866451
405.766296	-58.262577
406.439209	-60.772854
407.112122	-56.114037
407.785034	-57.891396
408.457947	-58.199913
409.130859	-58.506794
409.803772	-56.823143
410.476685	-55.903252
411.149597	-55.350178
411.822510	-55.087978
412.495422	-57.477566
413.168335	-56.345650
413.841248	-60.706017
414.514160	-56.497597
415.187073	-58.788330
415.859985	-57.609032
416.532898	-58.192215
417.205811	-56.750565
417.878723	-58.417667
418.551636	-56.527927
419.224548	-61.072750
419.897461	-59.007195
420.570374	-57.535503
