Frequency (Hz)	Level (dB)
391.635132	-71.515625
392.308044	-72.111221
392.980957	-67.887115
393.653870	-70.753014
394.326782	-69.813904
394.999695	-69.791252
395.672607	-71.989777
396.345520	-69.206444
397.018433	-69.979057
397.691345	-69.316811
398.364258	-70.207710
399.037170	-69.613701
399.710083	-68.906006
400.382996	-68.644936
401.055908	-67.268974
401.728821	-68.899796
402.401733	-68.286949
403.074646	-68.666832
403.747559	-69.031494
404.420471	-67.152603
405.093384	-67.049164
405.766296	-67.716751
406.439209	-69.834206
407.112122	-65.600067
407.785034	-67.395729
408.457947	-68.216270
409.130859	-68.338120
409.803772	-67.288292
410.476685	-66.470428
411.149597	-65.899345
411.822510	-65.946747
412.495422	-67.939690
413.168335	-66.727943
413.841248	-71.423828
414.514160	-65.766891
415.187073	-67.726646
415.859985	-66.604431
416.532898	-67.174400
417.205811	-64.978081
417.878723	-66.216469
418.551636	-63.638615
419.224548	-68.252716
419.897461	-65.200500
420.570374	-63.987831
421.243286	-63.945347
421.916199	-63.839264
422.589111	-64.471588
423.262024	-64.769936
423.934937	-63.117840
424.607849	-64.333878
425.280762	-63.070347
425.953674	-62.860138
426.626587	-64.538612
427.299500	-62.789783
427.972412	-64.383545
428.645325	-64.123047
429.318237	-63.029873
429.991150	-63.109730
430.664062	-61.930843
431.336975	-62.636440
432.009888	-60.796059
432.682800	-60.059238
433.355713	-63.811966
434.028625	-60.265179
434.701538	-60.075066
435.374451	-60.677704
436.047363	-60.413853
436.720276	-59.261593
437.393188	-60.340912
438.066101	-58.037754
438.739014	-57.984135
439.411926	-59.001541
440.084839	-59.475098
440.757751	-59.834080
441.430664	-58.317150
442.103577	-59.744331
442.776489	-57.616627
443.449402	-57.618565
444.122314	-57.258961
444.795227	-56.020206
445.468140	-61.192154
446.141052	-57.306389
446.813965	-56.826374
447.486877	-56.679367
448.159790	-57.910698
448.832703	-59.005165
449.505615	-56.837227
450.178528	-58.115067
450.851440	-57.661339
451.524353	-59.549454
452.197266	-60.816509
452.870178	-59.471504
453.543091	-59.235455
454.216003	-58.691788
454.888916	-60.840706
455.561829	-61.831345
456.234741	-62.262913
456.907654	-60.327179
457.580566	-59.523582
458.253479	-60.404083
458.926392	-60.183460
459.599304	-62.149017
460.272217	-62.253628
460.945129	-60.205143
461.618042	-63.103794
462.290955	-61.179218
462.963867	-61.369316
463.636780	-60.313015
464.309692	-61.172272
464.982605	-63.064869
465.655518	-64.130493
466.328430	-62.154484
467.001343	-65.284538
