Frequency (Hz)	Level (dB)
338.475037	-73.230301
339.147949	-76.433762
339.820862	-74.229691
340.493774	-73.454170
341.166687	-74.065605
341.839600	-74.214439
342.512512	-75.002502
343.185425	-75.511917
343.858337	-75.866867
344.531250	-76.829346
345.204163	-73.489357
345.877075	-75.010391
346.549988	-74.968102
347.222900	-76.320450
347.895813	-75.450378
348.568726	-75.696854
349.241638	-75.159286
349.914551	-75.308243
350.587463	-76.313728
351.260376	-75.807991
351.933289	-74.201836
352.606201	-74.129219
353.279114	-73.911133
353.952026	-75.935860
354.624939	-75.420395
355.297852	-75.014420
355.970764	-75.931755
356.643677	-75.286400
357.316589	-76.219536
357.989502	-76.061752
358.662415	-74.523308
359.335327	-74.653328
360.008240	-75.038414
360.681152	-74.846062
361.354065	-77.635292
362.026978	-77.335724
362.699890	-76.339218
363.372803	-76.462624
364.045715	-76.738876
364.718628	-76.121445
365.391541	-77.701485
366.064453	-78.642494
366.737366	-77.695412
367.410278	-76.632286
368.083191	-77.244446
368.756104	-77.340477
369.429016	-75.974976
370.101929	-78.244362
370.774841	-76.846474
371.447754	-75.980461
372.120667	-76.664436
372.793579	-75.491356
373.466492	-76.622978
374.139404	-76.137184
374.812317	-75.665001
375.485229	-77.368668
376.158142	-76.539185
376.831055	-74.621216
377.503967	-75.859337
378.176880	-76.172455
378.849792	-77.631760
379.522705	-77.117744
380.195618	-77.500778
380.868530	-75.513069
381.541443	-74.643738
382.214355	-75.444313
382.887268	-76.826439
383.560181	-76.128090
384.233093	-75.244019
384.906006	-75.813301
385.578918	-78.234497
386.251831	-78.399590
386.924744	-77.533699
387.597656	-76.618141
388.270569	-73.343529
388.943481	-74.143761
389.616394	-77.441757
390.289307	-77.770241
390.962219	-75.608078
391.635132	-78.501938
392.308044	-77.938210
392.980957	-74.028877
393.653870	-76.940109
394.326782	-76.248535
394.999695	-76.852112
395.672607	-78.041122
396.345520	-76.311775
397.018433	-76.848526
397.691345	-76.376129
398.364258	-77.881180
399.037170	-76.484619
399.710083	-76.262924
400.382996	-76.467552
401.055908	-75.136940
401.728821	-76.341042
402.401733	-75.769714
403.074646	-76.597572
403.747559	-76.738014
404.420471	-74.833099
405.093384	-75.002090
405.766296	-75.683083
406.439209	-77.809525
407.112122	-73.829315
407.785034	-76.146095
408.457947	-77.152550
